title,release_date,budget,director,distributor,dom_total_gross,domestic_total_adj_gross,genre,oscar_noms,producers,rating,runtime_mins,theaters,season,theater_run,Year,summer,fall,winter,spring,holiday,,PG-13,R,PG,G,GP,M/PG
Blood Red,8/18/1989,,,Hemdale,15510,34900,None,0,,R,99,,summer,0,1992,1,0,0,0,0,0,0,1,0,0,0,0
Blood Simple,1/18/1985,,Joel Coen and Ethan Coen,Circle,3851855,5408300,Crime_Thriller,0,Ethan Coen,R,95,,winter,0,1996,0,0,1,0,0,0,0,1,0,0,0,0
Blood Simple,7/1/2016,,Joel Coen and Ethan Coen,Janus Films,3851855,,Drama,0,,R,96,,summer,0,1997,1,0,0,0,0,0,0,1,0,0,0,0
Blood Simple,7/7/2000,,,USA Films,3851855,2819600,Crime_Thriller,0,,R,95,68,summer,0,2010,1,0,0,0,0,0,0,1,0,0,0,0
Blood Ties,2/11/2011,,,AfterLight,2760,3100,Act_Adven,0,,,93,1,winter,0,2010,0,0,1,0,0,1,0,0,0,0,0,0
Blood Ties,3/21/2014,,Guillaume Canet,Roadside Attractions,42472,47500,Crime_Thriller,0,,R,144,28,spring,13,2015,0,0,0,1,0,0,0,1,0,0,0,0
Blood Work,8/9/2002,50000000,Clint Eastwood,Warner Bros.,26235081,40323500,Crime_Thriller,0,"Clint Eastwood, Robert Lorenz",R,110,2525,summer,76,2017,1,0,0,0,0,0,0,1,0,0,0,0
"Blood, Friends and Money",9/15/2000,,,Venice Film Merchants,3930,6500,None,0,,R,,,fall,20,1996,0,1,0,0,0,0,0,1,0,0,0,0
"Blood, Guts, Bullets & Octane",4/9/1999,,,Lions Gate,15035,26400,None,0,,R,87,7,spring,13,2010,0,0,0,1,0,0,0,1,0,0,0,0
Blood: The Last Vampire,7/10/2009,,,Samuel Goldwyn,257412,320200,Horror,0,,R,89,20,summer,34,2007,1,0,0,0,0,0,0,1,0,0,0,0
Bloodbrothers,10/5/1978,4000000,Robert Mulligan,Warner Bros.,,,Drama,1,,R,,,fall,0,1986,0,1,0,0,0,0,0,1,0,0,0,0
Bloodfist,9/22/1989,,,Concorde,1770082,3981600,Act_Adven,0,,R,86,54,fall,90,1973,0,1,0,0,0,0,0,1,0,0,0,0
Bloodfist 2,10/12/1990,,,Concorde,1292323,2728200,Act_Adven,0,,R,85,92,fall,48,1992,0,1,0,0,0,0,0,1,0,0,0,0
Bloodfist III: Forced to Fight,1/3/1992,,,Concorde,35154,75600,Act_Adven,0,,R,90,18,winter,0,1985,0,0,1,0,0,0,0,1,0,0,0,0
Bloodhounds of Broadway,11/3/1989,,,Columbia,43671,98200,None,0,,PG,93,5,holiday,0,2006,0,0,0,0,1,0,0,0,1,0,0,0
