title,release_date,budget,director,distributor,dom_total_gross,domestic_total_adj_gross,genre,oscar_noms,oscar_wins,producers,rating,runtime_mins,theaters,clean_rating,new_genre,days_in_theater,year,summer,fall,holiday,winter,spring,PG-13,R,PG,G,GP,M/PG
The Woman in Black 2: Angel of Death,1/2/2015,,,Relativity,26501323,29144900,Horror,0,0,"['Ryan Kavanaugh', 'Tucker Tooley']",PG-13,98,2602,PG-13,Horror,76,2015,0,0,0,1,0,1,0,0,0,0,0
Woman in Gold,4/1/2015,11000000,,Weinstein Company,33307793,34651800,Drama,0,0,,PG-13,109,2011,PG-13,Drama,134,2015,0,0,0,0,1,1,0,0,0,0,0
The Woman in Red,8/17/1984,,['Gene Wilder'],Orion Pictures,25308147,67262400,Romantic Comedy,1,1,,PG-13,87,1069,PG-13,Romance,,1984,1,0,0,0,0,1,0,0,0,0,0
The Woman in the Fifth,6/15/2012,,,ATO Pictures,113800,126200,Thriller,0,0,,R,83,14,R,Crime_Thriller,,2012,1,0,0,0,0,0,1,0,0,0,0
Woman on Top,9/22/2000,8000000,,Fox Searchlight,5020111,8317200,Romantic Comedy,0,0,,R,92,1086,R,Romance,,2000,0,1,0,0,0,0,1,0,0,0,0
Woman Thou Art Loosed!: On the 7th Day,4/13/2012,,,Codeblack Entertainment,1213128,1334200,Thriller,0,0,['T.D. Jakes'],PG-13,101,106,PG-13,Crime_Thriller,48,2012,0,0,0,0,1,1,0,0,0,0,0
"A Woman, A Gun and A Noodle Shop",9/3/2010,,['Zhang Yimou'],Sony Classics,190946,219000,Drama,0,0,,R,95,23,R,Drama,111,2010,0,1,0,0,0,0,1,0,0,0,0
"Woman, Thou Art Loosed",10/1/2004,,,Magnolia,6879730,9893100,Drama,0,0,,R,99,521,R,Drama,51,2004,0,1,0,0,0,0,1,0,0,0,0
The Women,9/12/2008,16000000,['Diane English'],Picturehouse,26902075,33459000,Comedy,0,0,['Mick Jagger'],PG-13,114,2995,PG-13,Comedy,69,2008,0,1,0,0,0,1,0,0,0,0,0
Women in Trouble,11/13/2009,,,Screen Media,18097,21200,Comedy,0,0,,R,90,3,R,Comedy,13,2009,0,0,1,0,0,0,1,0,0,0,0
Women on the Verge of a Nervous Breakdown,11/11/1988,,['Pedro Almodovar'],Orion Classics,7179298,15598800,Foreign,0,0,['Pedro Almodovar'],R,88,,R,Foreign,,1988,0,0,1,0,0,0,1,0,0,0,0
Won't Back Down,9/28/2012,,['Daniel Barnz'],Fox,5310554,5891100,Drama,0,0,"['Mark Johnson', 'Ron Schmidt', 'Tom Williams']",PG,121,2517,PG,Drama,55,2012,0,1,0,0,0,0,0,1,0,0,0
Wonder,11/17/2017,,['Stephen Chbosky'],Lionsgate,88481066,88481100,Drama,0,0,,PG,113,3449,PG,Drama,,2017,0,0,1,0,0,0,0,1,0,0,0
Wonder Boys,2/23/2000,55000000,['Curtis Hanson'],Paramount,19393557,32095400,Comedy / Drama,3,1,['Scott Rudin'],R,111,1509,R,Comedy,,2000,0,0,0,1,0,0,1,0,0,0,0
Wonder Wheel,12/1/2017,,['Woody Allen'],Amazon Studios,140555,140600,Drama,0,0,,PG-13,101,5,PG-13,Drama,,2017,0,0,1,0,0,1,0,0,0,0,0
Wonder Woman,6/2/2017,149000000,['Patty Jenkins'],Warner Bros.,412563408,411824800,Action / Adventure,0,0,"['Charles Roven', 'Deborah Snyder', 'Zack Snyder', 'Richard Suckle']",PG-13,141,4165,PG-13,Act_Adven,160,2017,1,0,0,0,0,1,0,0,0,0,0
Wonderful World,1/8/2010,,,Magnolia,9309,10500,Romance,0,0,,R,95,4,R,Romance,13,2010,0,0,0,1,0,0,1,0,0,0,0
Wonderland,7/28/2000,,['Michael Winterbottom'],USA Films,414254,686300,Unknown,0,0,,R,109,25,R,None,83,2000,1,0,0,0,0,0,1,0,0,0,0
