title,release_date,budget,director,distributor,dom_total_gross,domestic_total_adj_gross,genre,oscar_noms,oscar_wins,producers,rating,runtime_mins,theaters,clean_rating,new_genre,days_in_theater,year,summer,fall,holiday,winter,spring,PG-13,R,PG,G,GP,M/PG,director_prev_nom,director_prev_win,BAFTA,Golden Globe,Guild,rt_critic_score,rt_audience_score,encoded_director,encoded_genre,encoded_producer
Holy Smoke,12/3/1999,0.0,Jane Campion,Miramax,1765545.0,2925100.0,Drama,0,0.0,,R,115.0,93.0,R,Drama,,1999.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,135,6,4
Home,4/23/2009,0.0,0,"Monterey Media, Inc.",10405.0,12400.0,Drama,0,0.0,,PG-13,84.0,3.0,PG-13,Drama,224.0,2009.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,6,4
Home,3/27/2015,135000000.0,Tim Johnson,Fox,177397510.0,184359000.0,Animation,0,0.0,['Mireille Soria'],PG,94.0,3801.0,PG,Animation,167.0,2015.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,898,13,701
Home Again,9/8/2017,12000000.0,0,Open Road Films,27020284.0,27020300.0,Romantic Comedy,0,0.0,,PG-13,97.0,3036.0,PG-13,Romance,62.0,2017.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,5,4
Home Alone,11/16/1990,18000000.0,Chris Columbus,Fox,285761243.0,604866400.0,Family Comedy,2,0.0,['John Hughes'],PG,105.0,2173.0,PG,Family,,1990.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,55.0,79.0,33,12,359
Home Alone 2: Lost in New York,11/20/1992,0.0,Chris Columbus,Fox,173585516.0,373716800.0,Family Comedy,0,0.0,"['John Hughes', 'Richard Vane']",PG,120.0,2461.0,PG,Family,,1992.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,33,12,199
Home Alone 3,12/12/1997,32000000.0,Raja Gosnell,Fox,30882515.0,59304600.0,Family Comedy,0,0.0,['John Hughes'],PG,102.0,2261.0,PG,Family,,1997.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,301,12,359
A Home at the End of the World,7/23/2004,6500000.0,Michael Mayer,Warner Independent,1029872.0,1481000.0,Drama,0,0.0,"['Hunt Lowry', 'John Sloss', 'John Wells']",R,120.0,65.0,R,Drama,97.0,2004.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,899,6,955
Home for the Holidays,11/3/1995,0.0,Jodie Foster,Paramount,17519169.0,35964600.0,Comedy,0,0.0,,PG-13,103.0,1000.0,PG-13,Comedy,,1995.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,273,1,4
Home Fries,11/27/1998,35000000.0,Dean Parisot,Warner Bros.,10459961.0,19281800.0,Romantic Comedy,0,0.0,"['Mark Johnson', 'Lawrence Kasdan', 'Barry Levinson']",PG-13,93.0,1925.0,PG-13,Romance,,1998.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,799,5,956
Home Is Where the Hart Is,12/4/1987,0.0,0,Atlantic,11660.0,26600.0,Comedy,0,0.0,,PG-13,94.0,,PG-13,Comedy,6.0,1987.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,4
Home Movies,5/16/1980,0.0,0,United Artists,89134.0,295900.0,Unknown,0,0.0,['Gilbert Adler'],PG,90.0,,PG,None,,1980.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,1,11,438
A Home of Our Own,11/5/1993,0.0,0,Gramercy,1677807.0,3619000.0,Drama,0,0.0,,PG,104.0,428.0,PG,Drama,,1993.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,1,6,4
Home of the Brave,12/15/2006,0.0,Irwin Winkler,MGM,51708.0,67100.0,War Drama,0,0.0,"['Rob Cowan', 'Randall Emmett', 'George Furla', 'Irwin Winkler']",R,105.0,44.0,R,War,,2006.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,195,16,957
Home on the Range,4/2/2004,110000000.0,Will Finn,Buena Vista,50030461.0,71944000.0,Animation,0,0.0,,PG,76.0,3058.0,PG,Animation,146.0,2004.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,900,13,4
Home Room,9/5/2003,0.0,0,Innovation Film Group,5216.0,7700.0,Unknown,0,0.0,,R,113.0,3.0,R,None,6.0,2003.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,11,4
Home Run,4/19/2013,0.0,0,Samuel Goldwyn,2861020.0,3048800.0,Sports Drama,0,0.0,,PG-13,113.0,381.0,PG-13,Sports,55.0,2013.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,7,4
Home Sweet Hell,3/13/2015,0.0,0,Vertical Entertainment,0.0,0.0,Comedy,0,0.0,,R,97.0,,R,Comedy,,2015.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,4
The Home Teachers,1/9/2004,0.0,0,Halestorm,203917.0,293200.0,Unknown,0,0.0,,PG,81.0,20.0,PG,None,97.0,2004.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,1,11,4
Homefront,11/27/2013,22000000.0,Gary Fleder,Open Road Films,20158898.0,21565700.0,Action Thriller,0,0.0,['Sylvester Stallone'],R,110.0,2570.0,R,Act_Adven,36.0,2013.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,729,0,958
Homegrown,4/17/1998,0.0,0,Sony / Columbia,77910.0,148300.0,Unknown,0,0.0,"['Jason Clark', 'Tom Rosenberg']",R,102.0,35.0,R,None,,1998.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,11,959
Homeland Security  - Box Office Mojo,,0.0,George Gallo,Sony / Columbia,0.0,0.0,Action Comedy,0,0.0,,PG-13,104.15257614574438,,PG-13,Act_Adven,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,665,0,4
The Homesman,11/14/2014,0.0,Tommy Lee Jones,Saban Films,2429989.0,2622400.0,Western,0,0.0,,R,122.0,222.0,R,Western,104.0,2014.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,901,15,4
Hometown Legend,1/25/2002,0.0,0,Jenkins,111806.0,171800.0,Unknown,0,0.0,,PG,106.0,33.0,PG,None,,2002.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,1,11,4
Homeward Bound II: Lost in San Francisco,3/8/1996,0.0,David R. Ellis,Buena Vista,32772492.0,66212300.0,Family Adventure,0,0.0,,G,89.0,2129.0,G,Family,,1996.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,475,12,4
Homeward Bound: The Incredible Journey,2/5/1993,0.0,0,Buena Vista,41833324.0,90234700.0,Family Adventure,0,0.0,['Jeffrey Chernov'],G,84.0,1798.0,G,Family,,1993.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,1,12,205
Homework,8/27/1982,0.0,James Beshears,Jensen Farley,2914328.0,8852000.0,Comedy,0,0.0,,R,90.0,262.0,R,Comedy,,1982.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,902,1,4
Homicide,10/11/1991,0.0,David Mamet,Triumph,2971661.0,6303300.0,Crime Thriller,0,0.0,,R,102.0,257.0,R,Crime_Thriller,,1991.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,878,3,4
